"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CURD test with steps","This test will create a new stores and verify its generated","SUCCESS","2021-07-20T21:53:51.370+01:00[Europe/London]","0.0","21.45"
"Stores CURD test with steps","This test will get the stores information by ID","SUCCESS","2021-07-20T21:54:12.883+01:00[Europe/London]","0.0","0.23"
"Stores CURD test with steps","This test will update the store information and verify the updated information","SUCCESS","2021-07-20T21:54:13.120+01:00[Europe/London]","0.0","0.68"
"Stores CURD test with steps","This test will delete the store and verify the store is deleted ","SUCCESS","2021-07-20T21:54:13.837+01:00[Europe/London]","0.0","0.42"
"Categories CRUD test with steps","This test will create a new categories and verify its generated","SUCCESS","2021-07-20T21:54:14.298+01:00[Europe/London]","0.0","1.86"
"Categories CRUD test with steps","This test will get the categories information by ID","SUCCESS","2021-07-20T21:54:16.168+01:00[Europe/London]","0.0","0.08"
"Categories CRUD test with steps","This test will update the categories information and verify the updated information","SUCCESS","2021-07-20T21:54:16.248+01:00[Europe/London]","0.0","0.26"
"Categories CRUD test with steps","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2021-07-20T21:54:16.516+01:00[Europe/London]","0.0","0.65"
"Product CURD test with steps","This test will create a new products and verify its generated","SUCCESS","2021-07-20T21:54:17.282+01:00[Europe/London]","0.0","0.24"
"Product CURD test with steps","This test will get the product information by ID","SUCCESS","2021-07-20T21:54:17.518+01:00[Europe/London]","0.0","0.1"
"Product CURD test with steps","This test will delete the product information and verify the product is deleted ","SUCCESS","2021-07-20T21:54:17.807+01:00[Europe/London]","0.0","0.21"
"Services CRUD test with steps","This test will create a new services and verify its generated","SUCCESS","2021-07-20T21:54:18.211+01:00[Europe/London]","0.0","0.24"
"Services CRUD test with steps","This test will get the services information by ID","SUCCESS","2021-07-20T21:54:18.448+01:00[Europe/London]","0.0","0.08"
"Services CRUD test with steps","This test will update the services information and verify the updated information","SUCCESS","2021-07-20T21:54:18.526+01:00[Europe/London]","0.0","0.1"
"Services CRUD test with steps","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2021-07-20T21:54:18.631+01:00[Europe/London]","0.0","0.18"
